No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference
178,Non-Steroid,O=C(N1CCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5.180456064,Inactive,302.46,7,2,0,4,3.328,50.27,0.224911771,-961.555868,2.976,-0.25675,-0.03824,0.21851,"Crystallographic and molecular modeling studies on 3-ethyl-3-(4-pyridyl)piperidine-2,6-dione and its butyl analogue, inhibitors of mammalian aromatase. Comparison with natural substrates: prediction of enantioselectivity for N-alkyl derivatives",J Med Chem. 1990;33(9):2673-23
179,Non-Steroid,O=C(N1CCCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5.823908741,Inactive,316.49,8,2,0,4,3.784,50.27,0.221467431,-1000.871528,2.9787,-0.25686,-0.03917,0.21769,"Crystallographic and molecular modeling studies on 3-ethyl-3-(4-pyridyl)piperidine-2,6-dione and its butyl analogue, inhibitors of mammalian aromatase. Comparison with natural substrates: prediction of enantioselectivity for N-alkyl derivatives",J Med Chem. 1990;33(9):2673-24
180,Non-Steroid,O=C(N1CCCCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,6.096910013,Active,330.52,9,2,0,4,4.241,50.27,0.218054426,-1040.196558,2.705,-0.25809,-0.03841,0.21968,"Crystallographic and molecular modeling studies on 3-ethyl-3-(4-pyridyl)piperidine-2,6-dione and its butyl analogue, inhibitors of mammalian aromatase. Comparison with natural substrates: prediction of enantioselectivity for N-alkyl derivatives",J Med Chem. 1990;33(9):2673-25
181,Non-Steroid,O=C(N1CCCCCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5.522878745,Inactive,344.55,10,2,0,4,4.697,50.27,0.215393965,-1079.497816,2.9829,-0.25395,-0.03997,0.21398,"Crystallographic and molecular modeling studies on 3-ethyl-3-(4-pyridyl)piperidine-2,6-dione and its butyl analogue, inhibitors of mammalian aromatase. Comparison with natural substrates: prediction of enantioselectivity for N-alkyl derivatives",J Med Chem. 1990;33(9):2673-26
182,Non-Steroid,O=C(N1CCCCCCCCCC)CC[C@@](C2=CC=NC=C2)(CC)C1=O,5,Inactive,358.58,11,2,0,4,5.153,50.27,0.213657217,-1118.806189,2.6121,-0.25449,-0.03951,0.21498,"Crystallographic and molecular modeling studies on 3-ethyl-3-(4-pyridyl)piperidine-2,6-dione and its butyl analogue, inhibitors of mammalian aromatase. Comparison with natural substrates: prediction of enantioselectivity for N-alkyl derivatives",J Med Chem. 1990;33(9):2673-27
183,Non-Steroid,O=C1C(CC2=CC=NC=C2)=C(N)C3=CC(OC)=CC=C31,5.455931956,Inactive,266.32,3,3,2,4,1.443,65.21,0.233568706,-878.0696265,6.6961,-0.20449,-0.06697,0.13752,Design and synthesis of a new type of non steroidal human aromatase inhibitors,Bioorg Med Chem Lett. 1998;8(9):1041-4
184,Non-Steroid,O=C(C1=CC=CC=C1C/2C3=CC=CC=C3)C2=C/C4=CC=NC=C4,6.096910013,Active,297.37,2,4,0,2,3.94,29.96,0.172963184,-939.236668,5.4383,-0.23922,-0.09006,0.14916,Design and synthesis of a new type of non steroidal human aromatase inhibitors,Bioorg Med Chem Lett. 1998;8(9):1041-4
186,Non-Steroid,CC1=NC2=C(C=N1)C(N3C=CN=C3)C4=CC=CC=C42,5.55,Inactive,248.31,1,4,0,3,1.413,43.6,0.200728774,-797.8325719,3.6258,-0.22824,-0.065,0.16324,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-803
187,Non-Steroid,O=C1C2=CC=CC=C2C3=C1C=C(CN4C=CN=C4)N=N3,4.57,Inactive,262.29,2,4,0,4,1.838,60.67,0.199653467,-871.8043173,4.3501,-0.23056,-0.11039,0.12017,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-804
188,Non-Steroid,[H]C1(N2C=CN=C2)C3=CC=CC=C3C4=C1C=CC=C4,5.55,Inactive,232.3,1,4,0,1,2.807,17.82,0.153213467,-726.4346139,4.0836,-0.22065,-0.04164,0.17901,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-805
189,Non-Steroid,C12=CC=CC=C1C3=C(C=CC=C3)C2(N4C=CN=C4)C5=CC=CC=C5,7.13,Active,308.4,2,5,0,1,4.247,17.82,0.147460475,-957.4771752,4.2701,-0.21594,-0.04326,0.17268,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-806
190,Non-Steroid,C12=CC=CC=C1C3=C(C=CC=C3)C2(N4N=CN=C4)C5=CC=CC=C5,5.4,Inactive,309.39,2,5,0,2,4.12,30.71,0.155576718,-973.5164622,3.4091,-0.22452,-0.0437,0.18082,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-807
191,Non-Steroid,O=C1OC2=CC(OC)=CC=C2C=C1CN3C=CN=C3,5.55,Inactive,256.28,3,3,0,4,1.52,57.26,0.233651548,-875.8787459,8.1916,-0.21408,-0.0732,0.14088,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-808
192,Non-Steroid,O=C1OC2=CC=CC=C2C(CN3C=CN=C3)=C1,5.68,Inactive,226.25,2,3,0,3,1.537,48.03,0.220467259,-761.3507101,6.8661,-0.23288,-0.07528,0.1576,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-809
193,Non-Steroid,O=C1OC2=CC(OC)=CC=C2C(CN3C=CN=C3)=C1,6.55,Active,256.28,3,3,0,4,1.52,57.26,0.240563516,-875.8744088,8.6729,-0.22829,-0.06807,0.16022,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-810
194,Non-Steroid,O=C1OC2=CC(OC)=CC=C2C(CN3N=CN=C3)=C1,5.44,Inactive,257.27,3,3,0,5,1.393,70.15,0.253635467,-891.9113908,8.2927,-0.23136,-0.06815,0.16321,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-811
195,Non-Steroid,O=C1OC2=CC=CC=C2C(OCCN3C=CN=C3)=C1,6.12,Active,256.28,4,3,0,4,1.143,57.26,0.226374419,-875.8818112,5.6827,-0.23509,-0.06184,0.17325,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-812
196,Non-Steroid,O=C1OC2=CC(OC)=CC=C2C(OCCN3C=CN=C3)=C1,4,Inactive,286.31,5,3,0,5,1.126,66.49,0.243514743,-990.4054725,7.4344,-0.22647,-0.05416,0.17231,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-813
197,Non-Steroid,O=C1OC2=CC(OC3=CC=CC=C3)=CC=C2C(CN4C=CN=C4)=C1,7.29,Active,318.35,4,4,0,4,3.097,57.26,0.225236579,-1067.615226,8.3947,-0.2289,-0.07006,0.15884,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-814
198,Non-Steroid,O=C1OC2=CC(OC)=CC(CN3C=CN=C3)=C2C=C1,6.77,Active,256.28,3,3,0,4,1.56,57.26,0.234125839,-875.8719905,7.1373,-0.22849,-0.07212,0.15637,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-815
199,Non-Steroid,O=C1OC2=CC=C(CN3C=CN=C3)C=C2C=C1,6.84,Active,226.25,2,3,0,3,1.576,48.03,0.221419185,-761.351995,3.158,-0.23169,-0.07602,0.15567,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-816
200,Non-Steroid,O=C1OC2=CC(CN3C=CN=C3)=CC=C2C=C1,6.17,Active,226.25,2,3,0,3,1.576,48.03,0.221903926,-761.3516999,2.9715,-0.23085,-0.0757,0.15515,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-817
201,Non-Steroid,O=C1OC2=CC(CN3N=CN=C3)=CC=C2C=C1,4.5,Inactive,227.24,2,3,0,4,1.449,60.92,0.2369405,-777.3888218,3.781,-0.24352,-0.07558,0.16794,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-818
202,Non-Steroid,O=C1OC2=CC(OCN3C=CN=C3)=CC=C2C=C1,4.5,Inactive,242.25,3,3,0,4,1.607,57.26,0.2371995,-836.5616672,6.6114,-0.23361,-0.0696,0.16401,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-819
203,Non-Steroid,O=C1OC2=C(CN3C=CN=C3)C(OC)=CC=C2C=C1,4.5,Inactive,256.28,3,3,0,4,1.56,57.26,0.230264742,-875.8775298,8.0892,-0.21111,-0.07165,0.13946,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-820
204,Non-Steroid,O=C1OC2=CC=CC=C2C(CN3C=CN=C3)=C1C4=CC=CC=C4,5.29,Inactive,302.35,3,4,0,3,3.015,48.03,0.189458973,-992.4004175,2.6435,-0.22791,-0.07804,0.14987,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-821
205,Non-Steroid,O=C1OC2=CC=CC(C3=CC=CC=C3)=C2C(CN4C=CN=C4)=C1,6.97,Active,302.35,3,4,0,3,3.055,48.03,0.190535027,-992.3969327,7.8408,-0.22729,-0.07272,0.15457,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-822
206,Non-Steroid,O=C1OC2=CC(OCC3=CC=CC=C3)=CC=C2C(CN4C=CN=C4)=C1,6.82,Active,332.38,5,4,0,4,3.104,57.26,0.213233195,-1106.926588,8.9223,-0.22745,-0.0673,0.16015,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-823
207,Non-Steroid,S=C1OC2=CC=C(CN3C=CN=C3)C=C2C=C1,5.95,Inactive,242.32,2,3,0,2,2.476,63.05,0.194535704,-1084.303862,4.1079,-0.22152,-0.09181,0.12971,"Design, synthesis, and 3D QSAR of novel potent and selective aromatase inhibitors",J Med Chem. 2004 Dec 30;47(27):6792-824
208,Non-Steroid,O=S(OC1=CC=C(C(N2N=CN=C2)C3=CC=C(OS(=O)(N)=O)C=C3)C=C1)(N)=O,5.516555352,Inactive,425.49,7,3,4,10,0.713,186.25,0.333072512,-2101.932812,3.5737,-0.25565,-0.04083,0.21482,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-38
209,Non-Steroid,O=S(OC1=CC=CC(C(N2N=CN=C2)C3=CC=CC(OS(=O)(N)=O)=C3)=C1)(N)=O,7.004364805,Active,425.49,7,3,4,10,0.713,186.25,0.330082372,-2101.932474,2.0691,-0.26105,-0.03302,0.22803,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-39
210,Non-Steroid,BrC1=C(OS(=O)(N)=O)C=CC(C(N2N=CN=C2)C3=CC=C(OS(=O)(N)=O)C(Br)=C3)=C1,7.366531544,Active,583.27,7,3,4,10,2.21,186.25,0.331160233,-7244.136558,3.1941,-0.25799,-0.05014,0.20785,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-40
213,Non-Steroid,O=S(OC1=CC=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1)(N)=O,7.886056648,Active,355.41,5,3,2,7,1.731,132.27,0.276163,-1515.039962,3.1301,-0.26021,-0.06169,0.19852,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-41
214,Non-Steroid,ClC1=C(OS(=O)(N)=O)C=CC(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)=C1,7.920818754,Active,389.85,5,3,2,7,2.396,132.27,0.272857763,-1974.630596,5.5628,-0.26177,-0.06699,0.19478,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-42
215,Non-Steroid,BrC1=C(OS(=O)(N)=O)C=CC(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)=C1,8.522878745,Active,434.3,5,3,2,7,2.48,132.27,0.274268026,-4086.141475,5.3025,-0.26036,-0.06727,0.19309,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-43
216,Non-Steroid,OC1=CC=CC(C(N2N=CN=C2)C3=CC=CC(O)=C3)=C1,5.609594844,Inactive,267.31,3,3,2,4,2.457,71.17,0.232044152,-894.0959369,1.3939,-0.22377,-0.01724,0.20653,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-44
217,Non-Steroid,OC1=CC=C(C(N2N=CN=C2)C3=CC=C(O)C=C3)C=C1,6.749579998,Active,267.31,3,3,2,4,2.457,71.17,0.230451788,-894.0960313,3.9733,-0.2213,-0.01876,0.20254,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-45
218,Non-Steroid,OC1=C(Br)C=C(C(N2N=CN=C2)C3=CC=C(O)C(Br)=C3)C=C1,8,Active,425.09,3,3,2,4,3.954,71.17,0.222553152,-6036.305314,2.1194,-0.23195,-0.03367,0.19828,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-46
219,Non-Steroid,OC1=C(OC)C=CC(C(N2N=CN=C2)C3=CC=C(OC)C(O)=C3)=C1,6.772113295,Active,327.37,5,3,2,6,2.424,89.63,0.249332585,-1123.128237,3.352,-0.20666,-0.01166,0.195,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-47
220,Non-Steroid,OC1=C(OC)C=C(C(N2N=CN=C2)C3=CC=C(O)C(OC)=C3)C=C1,6.66756154,Active,327.37,5,3,2,6,2.424,89.63,0.249849439,-1123.137734,4.3322,-0.2083,-0.00733,0.20097,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-48
221,Non-Steroid,OC1=CC=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1,8.142667504,Active,276.32,3,3,1,4,2.603,74.73,0.214570152,-911.1209821,4.0206,-0.23478,-0.06604,0.16874,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-49
222,Non-Steroid,OC1=C(Cl)C=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1,8.259637311,Active,310.76,3,3,1,4,3.268,74.73,0.210101273,-1370.71268,3.5518,-0.24117,-0.06953,0.17164,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-50
223,Non-Steroid,OC1=C(Br)C=C(C(N2N=CN=C2)C3=CC=C(C#N)C=C3)C=C1,8.744727495,Active,355.21,3,3,1,4,3.352,74.73,0.210034182,-3482.222264,3.5678,-0.23948,-0.06926,0.17022,"Chiral aromatase and dual aromatase-steroid sulfatase inhibitors from the letrozole template: synthesis, absolute configuration, and in vitro activity",J Med Chem. 2008;51(14):4226-51
265,Non-Steroid,OC(C1=CC=C(F)C=C1)(C2=CC(C=CC(OC)=C3)=C3O2)C4=CN=CC=C4,7.356547324,Active,349.38,4,4,1,5,3.911,55.49,0.218104619,-1190.088906,5.0984,-0.20387,-0.02808,0.17579,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-22
266,Non-Steroid,OC(C1=CC=C(Cl)C=C1)(C2=CC(C=CC(OC)=C3)=C3O2)C4=CN=CC=C4,7.30980392,Active,365.83,4,4,1,4,4.37,55.49,0.20111531,-1550.451703,5.6711,-0.20543,-0.03099,0.17444,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-23
267,Non-Steroid,OC(C1=CC=C(OC)C=C1)(C2=CC(C=CC(OC)=C3)=C3O2)C4=CN=CC=C4,6.795880017,Active,361.42,5,4,1,5,3.689,64.72,0.21726937,-1205.378215,3.7814,-0.19875,-0.02329,0.17546,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-24
268,Non-Steroid,COC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C(OC)C=C3)N4C=NC=C4,6.886056648,Active,334.4,5,4,0,4,3.681,49.42,0.216658674,-1108.098025,4.3335,-0.20228,-0.01876,0.18352,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-25
269,Non-Steroid,FC(C=C1)=CC=C1C(C2=CC(C=CC(OC)=C3)=C3O2)N4C=NC=N4,7.30980392,Active,323.35,4,4,0,5,3.776,53.08,0.215561721,-1108.098329,4.7486,-0.20464,-0.02376,0.18088,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-26
270,Non-Steroid,ClC(C=C1)=CC=C1C(C2=CC(C=CC(OC)=C3)=C3O2)N4C=NC=N4,7.356547324,Active,339.8,4,4,0,4,4.235,53.08,0.209093263,-1469.208379,3.8367,-0.2063,-0.03061,0.17569,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-27
271,Non-Steroid,COC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C(OC)C=C3)N4C=NC=N4,6.886056648,Active,335.39,5,4,0,5,3.554,62.31,0.226372452,-1124.136104,4.3722,-0.20116,-0.02038,0.18078,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-28
272,Non-Steroid,COC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C(C#N)C=C3)N4C=NC=N4,8,Active,330.37,4,4,0,5,3.449,76.87,0.225043385,-1101.85498,5.0287,-0.21072,-0.06239,0.14833,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-29
273,Non-Steroid,COC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C([N+]([O-])=O)C=C3)N4C=NC=N4,6.22184875,Active,350.36,5,4,0,6,3.465,98.9,0.236795625,-1214.112985,5.1366,-0.21167,-0.09553,0.11614,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-30
274,Non-Steroid,CC(C=C1)=CC=C1C(C2=CC(C=CC(OC)=C3)=C3O2)N4C=NC=N4,7,Active,319.39,4,4,0,4,4.056,53.08,0.221266463,-1048.931107,4.459,-0.20178,-0.02123,0.18055,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-31
275,Non-Steroid,COC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C(C(F)(F)F)C=C3)N4C=NC=N4,6.886056648,Active,373.36,4,4,0,7,4.512,53.08,0.232897463,-1346.649106,3.9235,-0.20673,-0.03936,0.16737,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-32
276,Non-Steroid,COC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C(CC)C=C3)N4C=NC=N4,5.910094889,Inactive,333.42,5,4,0,4,4.513,53.08,0.217534182,-1088.244723,4.4938,-0.20185,-0.02168,0.18017,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-33
277,Non-Steroid,OC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C(Cl)C=C3)N4C=NC=N4,5.835647144,Inactive,325.77,3,4,1,4,3.984,64.08,0.221010086,-1429.902235,3.6989,-0.20926,-0.03117,0.17809,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-34
278,Non-Steroid,OC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C(C#N)C=C3)N4C=NC=N4,7.698970004,Active,316.34,3,4,1,5,3.198,87.87,0.237872056,-1062.548781,4.5423,-0.21386,-0.06308,0.15078,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-35
279,Non-Steroid,OC1=CC(O2)=C(C=C1)C=C2C(C3=CC=C([N+]([O-])=O)C=C3)N4C=NC=N4,7.22184875,Active,336.33,4,4,1,6,3.214,109.9,0.250188568,-1174.806815,4.6355,-0.21487,-0.09614,0.11873,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-36
280,Non-Steroid,CC(C)(C#N)C1=CC(C(C)(C#N)C)=CC(CN2C=NC=N2)=C1,6.22184875,Active,293.41,4,2,0,4,2.966,78.29,0.232477,-932.9721075,5.2012,-0.26549,-0.03658,0.22891,"Potent CYP19 (aromatase) 1-[(benzofuran-2-yl)(phenylmethyl)pyridine, -imidazole, and -triazole inhibitors: synthesis and biological evaluation",J Med Chem. 2006;49(3):1016-37
281,Non-Steroid,O=C1C(C(N2CCCC2)C3=CC=C(C=C3)[N+]([O-])=O)=COC4=CC=CC=C41,8.64,Active,350.4,4,4,0,5,3.39,79.27,0.201864659,-1183.255072,7.2061,-0.22712,-0.08114,0.14598,Enantioselective nonsteroidal aromatase inhibitors identified through a multidisciplinary medicinal chemistry approach,J Med Chem. 2005;48(23):7282-9
283,Non-Steroid,O=C1C(C(N2CCCC2)C3=CC=C(C=C3)Br)=COC4=CC=CC=C41,7.31,Active,384.29,3,4,0,3,4.244,33.45,0.178934238,-3549.857171,4.0645,-0.21765,-0.05433,0.16332,Enantioselective nonsteroidal aromatase inhibitors identified through a multidisciplinary medicinal chemistry approach,J Med Chem. 2005;48(23):7282-10
285,Non-Steroid,O=C1C(C(N2CCCC2)C3=CC=C(C=C3)C#N)=COC4=CC=CC=C41,6.96,Active,330.41,3,4,0,4,3.374,57.24,0.190017953,-1070.996553,7.0059,-0.22524,-0.05943,0.16581,Enantioselective nonsteroidal aromatase inhibitors identified through a multidisciplinary medicinal chemistry approach,J Med Chem. 2005;48(23):7282-11
337,Steroid,CC12C(CCC2=O)C3C=CC4=C(C5=CC=CCC5=S)C(CCC4(C)C3CC1)=O,7.602059991,Active,392.6,1,5,0,2,4.064,66.23,0.194941893,-1518.111712,5.9392,-0.20283,-0.09171,0.11112,"Aromatase inhibitors: effect of ring A and ring B unsaturation on aromatase inhibition by 4-thiosubstituted derivatives of 4-androstene-3,17-dione",Steroids. 1995;60(5):423-7
338,Steroid,CC12C(CCC2=O)C3C=CC4=C(C5=CC=CCC5=S)C(C=CC4(C)C3CC1)=O,7.187086643,Active,390.58,1,5,0,2,4.04,66.23,0.190578407,-1516.887218,6.2854,-0.20399,-0.09202,0.11197,"Aromatase inhibitors: effect of ring A and ring B unsaturation on aromatase inhibition by 4-thiosubstituted derivatives of 4-androstene-3,17-dione",Steroids. 1995;60(5):423-8
339,Steroid,CC12C(CCC2=O)C3CCC4=C(C5=CC=CCC5=S)C(C=CC4(C)C3CC1)=O,6.301029996,Active,392.6,1,5,0,2,4.485,66.23,0.193599036,-1518.105303,5.71,-0.20698,-0.09116,0.11582,"Aromatase inhibitors: effect of ring A and ring B unsaturation on aromatase inhibition by 4-thiosubstituted derivatives of 4-androstene-3,17-dione",Steroids. 1995;60(5):423-9
340,Steroid,CC12C(CCC2=O)C3CCC4=C(C5=CC=CCC5=S)C(CCC4(C)C3CC1)=O,6.744727495,Active,394.62,1,5,0,2,4.508,66.23,0.200065224,-1519.319682,5.501,-0.20616,-0.09217,0.11399,"Aromatase inhibitors: effect of ring A and ring B unsaturation on aromatase inhibition by 4-thiosubstituted derivatives of 4-androstene-3,17-dione",Steroids. 1995;60(5):423-10
341,Non-Steroid,O=C(C1=CC=CC=C1C/2)C2=C(C3=CC=NC=C3)/[H],4.602059991,Inactive,221.27,1,3,0,2,2.656,29.96,0.18424375,-708.1912821,3.467,-0.24888,-0.08897,0.15991,"Aromatase inhibitors. Syntheses and structure-activity studies of novel pyridyl-substituted indanones, indans, and tetralins",J Med Chem. 1994;37(9):1275-81
342,Non-Steroid,O=C(C1=CC=CC=C1C/2)C2=C([H])/C3=CC=NC=C3,5.259637311,Inactive,221.27,1,3,0,2,2.656,29.96,0.184247143,-708.1912818,3.4668,-0.24888,-0.08898,0.1599,"Aromatase inhibitors. Syntheses and structure-activity studies of novel pyridyl-substituted indanones, indans, and tetralins",J Med Chem. 1994;37(9):1275-82
343,Non-Steroid,O=C(C1=CC=CC(OC)=C1C/2)C2=C(C3=CC=NC=C3)/[H],4.638272164,Inactive,251.3,2,3,0,3,2.64,39.19,0.199128313,-822.7146648,5.003,-0.23213,-0.08504,0.14709,"Aromatase inhibitors. Syntheses and structure-activity studies of novel pyridyl-substituted indanones, indans, and tetralins",J Med Chem. 1994;37(9):1275-83
344,Non-Steroid,O=C(C1=CC=CC(OC)=C1C/2)C2=C([H])/C3=CC=NC=C3,5.431798276,Inactive,251.3,2,3,0,3,2.64,39.19,0.199127781,-822.7146647,5.0029,-0.23213,-0.08504,0.14709,"Aromatase inhibitors. Syntheses and structure-activity studies of novel pyridyl-substituted indanones, indans, and tetralins",J Med Chem. 1994;37(9):1275-84
